# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11               12               13
#           Crank               AR               N2               HE               H2                H               O2                O              H2O               OH              OHV             H2O2              HO2
#           (DEG)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)             (kg)
#
   -3.6947773e+02    0.0000000e+00    7.2439442e-05    0.0000000e+00    1.6142539e-06    0.0000000e+00    1.8042171e-05    0.0000000e+00    4.3161614e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6939719e+02    0.0000000e+00    7.2435482e-05    0.0000000e+00    1.6143267e-06    0.0000000e+00    1.8041906e-05    0.0000000e+00    4.3151407e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6923110e+02    0.0000000e+00    7.2427723e-05    0.0000000e+00    1.6144860e-06    0.0000000e+00    1.8041460e-05    0.0000000e+00    4.3130594e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6914643e+02    0.0000000e+00    7.2423932e-05    0.0000000e+00    1.6145726e-06    0.0000000e+00    1.8041281e-05    0.0000000e+00    4.3120000e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6906250e+02    0.0000000e+00    7.2420256e-05    0.0000000e+00    1.6146623e-06    0.0000000e+00    1.8041133e-05    0.0000000e+00    4.3109448e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6897735e+02    0.0000000e+00    7.2416582e-05    0.0000000e+00    1.6147573e-06    0.0000000e+00    1.8041010e-05    0.0000000e+00    4.3098640e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6888997e+02    0.0000000e+00    7.2412855e-05    0.0000000e+00    1.6148595e-06    0.0000000e+00    1.8040910e-05    0.0000000e+00    4.3087393e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6879825e+02    0.0000000e+00    7.2408965e-05    0.0000000e+00    1.6149721e-06    0.0000000e+00    1.8040833e-05    0.0000000e+00    4.3075366e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6861551e+02    0.0000000e+00    7.2401202e-05    0.0000000e+00    1.6152131e-06    0.0000000e+00    1.8040752e-05    0.0000000e+00    4.3050568e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6852393e+02    0.0000000e+00    7.2397256e-05    0.0000000e+00    1.6153421e-06    0.0000000e+00    1.8040740e-05    0.0000000e+00    4.3037646e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6843262e+02    0.0000000e+00    7.2393257e-05    0.0000000e+00    1.6154761e-06    0.0000000e+00    1.8040743e-05    0.0000000e+00    4.3024387e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6833979e+02    0.0000000e+00    7.2389106e-05    0.0000000e+00    1.6156179e-06    0.0000000e+00    1.8040757e-05    0.0000000e+00    4.3010498e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6824679e+02    0.0000000e+00    7.2384847e-05    0.0000000e+00    1.6157653e-06    0.0000000e+00    1.8040781e-05    0.0000000e+00    4.2996152e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6814827e+02    0.0000000e+00    7.2380196e-05    0.0000000e+00    1.6159271e-06    0.0000000e+00    1.8040810e-05    0.0000000e+00    4.2980445e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6805623e+02    0.0000000e+00    7.2375726e-05    0.0000000e+00    1.6160833e-06    0.0000000e+00    1.8040841e-05    0.0000000e+00    4.2965320e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6795945e+02    0.0000000e+00    7.2370856e-05    0.0000000e+00    1.6162521e-06    0.0000000e+00    1.8040869e-05    0.0000000e+00    4.2948905e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6786404e+02    0.0000000e+00    7.2365887e-05    0.0000000e+00    1.6164229e-06    0.0000000e+00    1.8040891e-05    0.0000000e+00    4.2932228e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6776999e+02    0.0000000e+00    7.2360814e-05    0.0000000e+00    1.6165950e-06    0.0000000e+00    1.8040904e-05    0.0000000e+00    4.2915307e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
   -3.6767621e+02    0.0000000e+00    7.2355569e-05    0.0000000e+00    1.6167699e-06    0.0000000e+00    1.8040904e-05    0.0000000e+00    4.2897963e-06    0.0000000e+00    0.0000000e+00    0.0000000e+00    0.0000000e+00
