# CONVERGE 4.0.3/  Aug  6 2024       Run Date:Wed Jun  4 14:16:41 2025
# column        1                2                3                4                5                6                7                8                9               10               11
#           Crank      Lambda_Mean    Lambda_StdDev         Phi_Mean       Phi_StdDev    Rct_Lmda_Mean  Rct_Lmda_StdDev     Rct_Phi_Mean   Rct_Phi_StdDev         NOT_USED         NOT_USED
#           (DEG)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)           (none)
#
   -3.7018208e+02    1.3146819e+00    4.3866364e-01    7.6064027e-01    1.9173845e-01    1.4090865e+00    5.9274057e+19    7.0967964e-01    4.4816736e-01   -1.0000000e+00   -1.0000000e+00
   -3.7003582e+02    1.3145858e+00    4.3861967e-01    7.6069590e-01    1.9172111e-01    1.4089042e+00    5.9262368e+19    7.0977149e-01    4.4812077e-01   -1.0000000e+00   -1.0000000e+00
   -3.6996265e+02    1.3145399e+00    4.3859865e-01    7.6072247e-01    1.9171282e-01    1.4088171e+00    5.9256784e+19    7.0981535e-01    4.4809850e-01   -1.0000000e+00   -1.0000000e+00
   -3.6988273e+02    1.3144912e+00    4.3857636e-01    7.6075064e-01    1.9170403e-01    1.4087248e+00    5.9250864e+19    7.0986186e-01    4.4807488e-01   -1.0000000e+00   -1.0000000e+00
   -3.6972126e+02    1.3143965e+00    4.3853295e-01    7.6080545e-01    1.9168691e-01    1.4085453e+00    5.9239342e+19    7.0995233e-01    4.4802889e-01   -1.0000000e+00   -1.0000000e+00
   -3.6963994e+02    1.3143502e+00    4.3851172e-01    7.6083224e-01    1.9167854e-01    1.4084576e+00    5.9233710e+19    7.0999654e-01    4.4800640e-01   -1.0000000e+00   -1.0000000e+00
   -3.6955827e+02    1.3143044e+00    4.3849070e-01    7.6085876e-01    1.9167025e-01    1.4083708e+00    5.9228134e+19    7.1004030e-01    4.4798412e-01   -1.0000000e+00   -1.0000000e+00
   -3.6947773e+02    1.3142597e+00    4.3847016e-01    7.6088465e-01    1.9166215e-01    1.4082860e+00    5.9222690e+19    7.1008303e-01    4.4796236e-01   -1.0000000e+00   -1.0000000e+00
   -3.6939719e+02    1.3142152e+00    4.3844973e-01    7.6091040e-01    1.9165409e-01    1.4082018e+00    5.9217276e+19    7.1012551e-01    4.4794072e-01   -1.0000000e+00   -1.0000000e+00
   -3.6923110e+02    1.3141234e+00    4.3840755e-01    7.6096352e-01    1.9163745e-01    1.4080280e+00    5.9206102e+19    7.1021315e-01    4.4789603e-01   -1.0000000e+00   -1.0000000e+00
   -3.6914643e+02    1.3140762e+00    4.3838582e-01    7.6099087e-01    1.9162888e-01    1.4079385e+00    5.9200349e+19    7.1025827e-01    4.4787301e-01   -1.0000000e+00   -1.0000000e+00
   -3.6906250e+02    1.3140288e+00    4.3836401e-01    7.6101832e-01    1.9162027e-01    1.4078488e+00    5.9194575e+19    7.1030354e-01    4.4784990e-01   -1.0000000e+00   -1.0000000e+00
   -3.6897735e+02    1.3139800e+00    4.3834150e-01    7.6104661e-01    1.9161140e-01    1.4077563e+00    5.9188623e+19    7.1035021e-01    4.4782606e-01   -1.0000000e+00   -1.0000000e+00
   -3.6888997e+02    1.3139288e+00    4.3831793e-01    7.6107624e-01    1.9160209e-01    1.4076595e+00    5.9182388e+19    7.1039907e-01    4.4780109e-01   -1.0000000e+00   -1.0000000e+00
   -3.6879825e+02    1.3138738e+00    4.3829255e-01    7.6110811e-01    1.9159208e-01    1.4075554e+00    5.9175680e+19    7.1045163e-01    4.4777421e-01   -1.0000000e+00   -1.0000000e+00
   -3.6861551e+02    1.3137595e+00    4.3823979e-01    7.6117435e-01    1.9157126e-01    1.4073390e+00    5.9161740e+19    7.1056084e-01    4.4771831e-01   -1.0000000e+00   -1.0000000e+00
   -3.6852393e+02    1.3136995e+00    4.3821210e-01    7.6120906e-01    1.9156033e-01    1.4072257e+00    5.9154432e+19    7.1061807e-01    4.4768899e-01   -1.0000000e+00   -1.0000000e+00
   -3.6843262e+02    1.3136379e+00    4.3818361e-01    7.6124478e-01    1.9154909e-01    1.4071091e+00    5.9146912e+19    7.1067694e-01    4.4765881e-01   -1.0000000e+00   -1.0000000e+00
   -3.6833979e+02    1.3135732e+00    4.3815367e-01    7.6128228e-01    1.9153727e-01    1.4069868e+00    5.9139016e+19    7.1073874e-01    4.4762710e-01   -1.0000000e+00   -1.0000000e+00
   -3.6824679e+02    1.3135063e+00    4.3812268e-01    7.6132107e-01    1.9152504e-01    1.4068602e+00    5.9130847e+19    7.1080267e-01    4.4759428e-01   -1.0000000e+00   -1.0000000e+00
